taxon,Accession	
Hepatitis C virus subtype 1b_FN435993,FN435993	
Hepacivirus hominis_FJ839869,FJ839869	
Hepacivirus hominis_FJ839870,FJ839870	
Hepacivirus hominis_FJ462431,FJ462431	
Hepacivirus hominis_FJ462432,FJ462432	
Hepacivirus hominis_FJ462433,FJ462433	
Hepacivirus hominis_FJ462434,FJ462434	
Hepacivirus hominis_FJ462435,FJ462435	
Hepacivirus hominis_FJ462436,FJ462436	
Hepacivirus hominis_FJ462437,FJ462437	
Hepacivirus hominis_FJ462438,FJ462438	
Hepacivirus hominis_FJ462439,FJ462439	
Hepacivirus hominis_FJ462440,FJ462440	
Hepacivirus hominis_FJ462441,FJ462441	
Hepacivirus hominis_EU158186,EU158186	
hepatitis C virus genotype 1a_GQ149768,GQ149768	
hepatitis C virus genotype 1a_EU781746,EU781746	
hepatitis C virus genotype 1a_EU781747,EU781747	
hepatitis C virus genotype 1a_EU781748,EU781748	
hepatitis C virus genotype 1a_EU781749,EU781749	
hepatitis C virus genotype 1a_EU781750,EU781750	
hepatitis C virus genotype 1a_EU781751,EU781751	
hepatitis C virus genotype 1a_EU781752,EU781752	
hepatitis C virus genotype 1a_EU781753,EU781753	
hepatitis C virus genotype 1a_EU781754,EU781754	
hepatitis C virus genotype 1a_EU781755,EU781755	
hepatitis C virus genotype 1a_EU781756,EU781756	
hepatitis C virus genotype 1a_EU781757,EU781757	
hepatitis C virus genotype 1a_EU781758,EU781758	
hepatitis C virus genotype 1a_EU781759,EU781759	
hepatitis C virus genotype 1a_EU781760,EU781760	
hepatitis C virus genotype 1a_EU781761,EU781761	
hepatitis C virus genotype 1a_EU781762,EU781762	
hepatitis C virus genotype 1a_EU781763,EU781763	
hepatitis C virus genotype 1a_EU781764,EU781764	
hepatitis C virus genotype 1a_EU781765,EU781765	
hepatitis C virus genotype 1a_EU781766,EU781766	
hepatitis C virus genotype 1a_EU781767,EU781767	
hepatitis C virus genotype 1a_EU781768,EU781768	
hepatitis C virus genotype 1a_EU781769,EU781769	
hepatitis C virus genotype 1a_EU781770,EU781770	
hepatitis C virus genotype 1a_EU781771,EU781771	
hepatitis C virus genotype 1a_EU781772,EU781772	
hepatitis C virus genotype 1a_EU781773,EU781773	
hepatitis C virus genotype 1a_EU781774,EU781774	
hepatitis C virus genotype 1a_EU781775,EU781775	
hepatitis C virus genotype 1a_EU781776,EU781776	
hepatitis C virus genotype 1a_EU781777,EU781777	
hepatitis C virus genotype 1a_EU781778,EU781778	
hepatitis C virus genotype 1a_EU781779,EU781779	
hepatitis C virus genotype 1a_EU781780,EU781780	
hepatitis C virus genotype 1a_EU781781,EU781781	
hepatitis C virus genotype 1a_EU781782,EU781782	
hepatitis C virus genotype 1a_EU781783,EU781783	
hepatitis C virus genotype 1a_EU781784,EU781784	
hepatitis C virus genotype 1a_EU781785,EU781785	
hepatitis C virus genotype 1a_EU781786,EU781786	
hepatitis C virus genotype 1a_EU781787,EU781787	
hepatitis C virus genotype 1a_EU781788,EU781788	
hepatitis C virus genotype 1a_EU781789,EU781789	
hepatitis C virus genotype 1a_EU781790,EU781790	
hepatitis C virus genotype 1a_EU781791,EU781791	
hepatitis C virus genotype 1a_EU781792,EU781792	
hepatitis C virus genotype 1a_EU781793,EU781793	
hepatitis C virus genotype 1a_EU781794,EU781794	
hepatitis C virus genotype 1a_EU781795,EU781795	
hepatitis C virus genotype 1a_EU781796,EU781796	
hepatitis C virus genotype 1a_EU781797,EU781797	
hepatitis C virus genotype 1a_EU781798,EU781798	
hepatitis C virus genotype 1a_EU781799,EU781799	
hepatitis C virus genotype 1a_EU781800,EU781800	
hepatitis C virus genotype 1a_EU781801,EU781801	
hepatitis C virus genotype 1a_EU781802,EU781802	
hepatitis C virus genotype 1a_EU781803,EU781803	
hepatitis C virus genotype 1a_EU781804,EU781804	
hepatitis C virus genotype 1a_EU781805,EU781805	
hepatitis C virus genotype 1a_EU781806,EU781806	
hepatitis C virus genotype 1a_EU781807,EU781807	
hepatitis C virus genotype 1a_EU781808,EU781808	
hepatitis C virus genotype 1a_EU781809,EU781809	
hepatitis C virus genotype 1a_EU781810,EU781810	
hepatitis C virus genotype 1a_EU781811,EU781811	
hepatitis C virus genotype 1a_EU781812,EU781812	
hepatitis C virus genotype 1a_EU781813,EU781813	
